"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 23 08:44:12 EST 2020","Wed Dec 23 08:44:14 EST 2020","2053","SmokeTest","SmokeTest","sailotech.com.EzScheduler.PositiveTestPages.AdminVerifyTest","sailotech.com.EzScheduler.PositiveTestPages.AdminVerifyTest","TC_01_navigate_homepage_to_admin_login","Navigate_homepage_to_Admin_loginRegister",""
"passed","Wed Dec 09 11:56:09 EST 2020","Wed Dec 09 11:56:18 EST 2020","9441","PatientRegistration","PatientRegistration","sailotech.com.EzScheduler.PatientRegistration.PatientRegistrationTest","sailotech.com.EzScheduler.PatientRegistration.PatientRegistrationTest","TC_02_DoctorRegister","Navigate_DoctorRegister",""
"broken","Wed Dec 23 16:25:26 EST 2020","Wed Dec 23 16:25:26 EST 2020","0","Default suite","Default test","com.sailotech.ezscheduler.login_testpages.Patientlogintest","com.sailotech.ezscheduler.login_testpages.Patientlogintest","stopRecording","stopRecording",""
"passed","Sun Dec 13 09:19:04 EST 2020","Sun Dec 13 09:19:14 EST 2020","10210","SmokeTest","SmokeTest","sailotech.com.EzScheduler.PatientPages.PatientTest","sailotech.com.EzScheduler.PatientPages.PatientTest","TC_01_navigate_homepage_to_Patient_login","Navigate_homepage_to_Patient_loginRegister",""
"passed","Thu Dec 24 16:10:23 EST 2020","Thu Dec 24 16:10:26 EST 2020","3451","Default suite","Default test","com.sailotech.ezscheduler.testpages.Providerrregistrationtest","com.sailotech.ezscheduler.testpages.Providerrregistrationtest","TC_01_navigate_homepage_to_DoctorRegister","Navigate_homepage_to_DoctorLoginRegister",""
"passed","Mon Jan 18 11:09:09 EST 2021","Mon Jan 18 11:09:15 EST 2021","6612","Default suite","Default test","com.sailotech.ezscheduler.Testpages.ProviderCredentialsfromMail","com.sailotech.ezscheduler.Testpages.ProviderCredentialsfromMail","Providercredentialsfrommail","ProviderCredntials_fromMail",""
"passed","Thu Jan 21 10:10:33 EST 2021","Thu Jan 21 10:10:42 EST 2021","9521","Default suite","Default test","com.sailotech.ezscheduler.Testpages.Consumerscheduleanapptest","com.sailotech.ezscheduler.Testpages.Consumerscheduleanapptest","TC_13_PatientLogin","Navigate To Patient Login page",""
"broken","Fri Jan 08 11:36:01 EST 2021","Fri Jan 08 11:36:01 EST 2021","0","Default suite","Default test","com.sailotech.ezscheduler.testpages.Consumerregistrationtest","com.sailotech.ezscheduler.testpages.Consumerregistrationtest","screenShot","screenShot",""
"passed","Mon Feb 08 15:59:27 EST 2021","Mon Feb 08 15:59:34 EST 2021","6971","Default suite","Default test","com.sailotech.ezscheduler.Testpages.AdminFullFlowTest","com.sailotech.ezscheduler.Testpages.AdminFullFlowTest","TC_08_Navigate_to_AdminLogin","Navigate to Admin Login page",""
"passed","Thu Jan 07 12:56:28 EST 2021","Thu Jan 07 12:56:49 EST 2021","21030","Default suite","Default test","com.sailotech.ezscheduler.testpages.Providerrcancelappointmentstest","com.sailotech.ezscheduler.testpages.Providerrcancelappointmentstest","TC_01_DoctorCancelAnAppointmentsOrSlots","DoctorCancelAnAppointments/Slots",""
"passed","Sun Jan 10 22:35:41 EST 2021","Sun Jan 10 22:35:56 EST 2021","15147","SmokeTest","SmokeTest","com.sailotech.ezscheduler.login_testpages.Consumerlogintest","com.sailotech.ezscheduler.login_testpages.Consumerlogintest","TC_02_PatientLogin","Navigate_To_PatientLogin",""
"passed","Mon Jan 18 12:01:10 EST 2021","Mon Jan 18 12:01:20 EST 2021","10499","Default suite","Default test","com.sailotech.ezscheduler.readingmail.Consumercredentialsfrommail","com.sailotech.ezscheduler.readingmail.Consumercredentialsfrommail","TC01_ReadMail","TC01_ReadMail",""
"passed","Wed Dec 23 23:03:42 EST 2020","Wed Dec 23 23:03:52 EST 2020","9925","Default suite","Default test","sailotech.com.EzScheduler.NegativeTestPages.AdminLoginCredentialsTest","sailotech.com.EzScheduler.NegativeTestPages.AdminLoginCredentialsTest","TC_02_adminlogin","Navigate_homepage_to_AdminLogin",""
"passed","Mon Jan 11 08:26:29 EST 2021","Mon Jan 11 08:26:34 EST 2021","5056","Default suite","Default test","com.sailotech.ezscheduler.testpages.AdminverDoctornegativescenariostest","com.sailotech.ezscheduler.testpages.AdminverDoctornegativescenariostest","TC_01_Navigate_to_AdminLoginRegister","Navigate_to_AdminLoginRegister",""
"passed","Wed Feb 17 14:45:08 EST 2021","Wed Feb 17 14:45:13 EST 2021","5680","Default suite","Default test","com.sailotech.testautomation.ezscheduler.tests.Providerrregistration_test","com.sailotech.testautomation.ezscheduler.tests.Providerrregistration_test","TC_02_Providercredentials_frommail","Reading Provider Credentials from mail",""
"skipped","Wed Dec 23 16:25:22 EST 2020","Wed Dec 23 16:25:22 EST 2020","1","Default suite","Default test","com.sailotech.ezscheduler.login_testpages.Patientlogintest","com.sailotech.ezscheduler.login_testpages.Patientlogintest","TC_02_Patientlogin","Navigate_homepage_to_PatientLogin",""
"passed","Tue Jan 19 16:51:46 EST 2021","Tue Jan 19 16:51:57 EST 2021","11563","Default suite","Default test","com.sailotech.ezscheduler.Testpages.Providergenerateslotstest","com.sailotech.ezscheduler.Testpages.Providergenerateslotstest","TC_09_DoctorLogin","Navigate_To_DoctorLogin",""
"passed","Mon Feb 15 10:28:05 EST 2021","Mon Feb 15 10:28:17 EST 2021","11733","Default suite","Default test","com.sailotech.ezscheduler.Testpages.ProviderloginTest","com.sailotech.ezscheduler.Testpages.ProviderloginTest","TC_05_ProviderLogin","Navigate To Provider Login page",""
"passed","Thu Jan 21 15:45:30 EST 2021","Thu Jan 21 15:45:34 EST 2021","4662","AdminSuite","AdminSuite","com.sailotech.ezscheduler.Testpages.AdminverifyUnverifiedDoctortest","com.sailotech.ezscheduler.Testpages.AdminverifyUnverifiedDoctortest","TC_08_Navigate_to_AdminLogin","Navigate to Admin Login page",""
"passed","Wed Dec 23 10:49:51 EST 2020","Wed Dec 23 10:49:55 EST 2020","3390","Default suite","Default test","com.sailotech.ezscheduler.testpages.Adminlogintest","com.sailotech.ezscheduler.testpages.Adminlogintest","TC_02_adminlogin","Navigate_homepage_to_AdminLogin",""
"broken","Sat Dec 12 17:06:26 EST 2020","Sat Dec 12 17:06:26 EST 2020","1","DoctorSuite (0)","DoctorSuite","sailotech.com.EzScheduler.GenerateSlots.GenerateSlotsTest","sailotech.com.EzScheduler.GenerateSlots.GenerateSlotsTest","beforeClass","beforeClass",""
"broken","Thu Jan 07 21:15:13 EST 2021","Thu Jan 07 21:15:13 EST 2021","0","PatientLogin","PatientLogin","com.sailotech.ezscheduler.login_testpages.Consumerlogintest","com.sailotech.ezscheduler.login_testpages.Consumerlogintest","beforeClass","beforeClass",""
"passed","Mon Jan 18 17:31:40 EST 2021","Mon Jan 18 17:31:45 EST 2021","5061","Default suite","Default test","com.sailotech.ezscheduler.Testpages.ProviderCredentialstest","com.sailotech.ezscheduler.Testpages.ProviderCredentialstest","TC_05_Provider_LoginCredentials","Provider_LoginCredentials",""
"broken","Thu Jan 07 19:26:08 EST 2021","Thu Jan 07 19:26:08 EST 2021","0","AdminSuite","AdminSuite","com.sailotech.ezscheduler.testpages.Adminverifydoctortest","com.sailotech.ezscheduler.testpages.Adminverifydoctortest","beforeClass","beforeClass",""
"passed","Thu Jan 21 09:26:36 EST 2021","Thu Jan 21 09:26:42 EST 2021","5876","Default suite","Default test","com.sailotech.ezscheduler.Testpages.AdminverDoctornegativescenariostest","com.sailotech.ezscheduler.Testpages.AdminverDoctornegativescenariostest","TC_04_Navigate_to_AdminLogin","Navigate_to_AdminLogin",""
"passed","Wed Dec 23 08:46:06 EST 2020","Wed Dec 23 08:46:10 EST 2020","3056","SmokeTest","SmokeTest","sailotech.com.EzScheduler.PositiveTestPages.DoctorGenerateSlotsTest","sailotech.com.EzScheduler.PositiveTestPages.DoctorGenerateSlotsTest","TC_02_DoctorLogin","Navigate_homepage_to_DoctorLogin",""
"broken","Thu Jan 21 15:49:42 EST 2021","Thu Jan 21 15:49:42 EST 2021","1","PatientLogin","PatientLogin","com.sailotech.ezscheduler.Testpages.Consumerlogintest","com.sailotech.ezscheduler.Testpages.Consumerlogintest","beforeClass","beforeClass",""
"passed","Wed Dec 23 23:03:37 EST 2020","Wed Dec 23 23:03:42 EST 2020","5189","Default suite","Default test","sailotech.com.EzScheduler.NegativeTestPages.AdminLoginCredentialsTest","sailotech.com.EzScheduler.NegativeTestPages.AdminLoginCredentialsTest","TC_01_navigate_homepage_to_admin_login","Navigate_homepage_to_Admin_loginRegister",""
"skipped","Thu Dec 17 10:10:41 EST 2020","Thu Dec 17 10:10:41 EST 2020","0","Default suite","Default test","sailotech.com.EzScheduler.TestPages.AdminVerifyTest","sailotech.com.EzScheduler.TestPages.AdminVerifyTest","TC_02_adminLogout","Navigate_homepage_to_AdminLogin",""
"passed","Thu Jan 21 09:31:19 EST 2021","Thu Jan 21 09:31:30 EST 2021","11443","Default suite","Default test","com.sailotech.ezscheduler.Testpages.Providergenerateslotstest","com.sailotech.ezscheduler.Testpages.Providergenerateslotstest","TC_05_DoctorLogin","Navigate To Provider Login page",""
"passed","Wed Jan 20 10:27:59 EST 2021","Wed Jan 20 10:28:10 EST 2021","11781","Default suite","Default test","com.sailotech.ezscheduler.Testpages.ConsumeOTPtest","com.sailotech.ezscheduler.Testpages.ConsumeOTPtest","TC_01_PatientRegistration","PatientRegistration",""
"broken","Mon Feb 15 14:42:27 EST 2021","Mon Feb 15 14:42:27 EST 2021","1","Default suite","Default test","com.sailotech.ezscheduler.Testpages.ProviderrregistrationTest","com.sailotech.ezscheduler.Testpages.ProviderrregistrationTest","afterClass","afterClass",""
"skipped","Mon Feb 15 15:51:35 EST 2021","Mon Feb 15 15:51:35 EST 2021","0","Default suite","Default test","com.sailotech.ezscheduler.Testpages.ProviderrregistrationTest","com.sailotech.ezscheduler.Testpages.ProviderrregistrationTest","TC_04_ProviderLogout","Provider Logout from Ezscheduler Website",""
"passed","Thu Dec 24 16:17:07 EST 2020","Thu Dec 24 16:17:20 EST 2020","12477","Default suite","Default test","com.sailotech.ezscheduler.testpages.Consumerscheduleanapptest","com.sailotech.ezscheduler.testpages.Consumerscheduleanapptest","TC_01_navigate_homepage_to_Patient_login","Navigate_homepage_to_Patient_loginRegister",""
"passed","Wed Jan 20 10:28:10 EST 2021","Wed Jan 20 10:28:17 EST 2021","6402","Default suite","Default test","com.sailotech.ezscheduler.Testpages.ConsumeOTPtest","com.sailotech.ezscheduler.Testpages.ConsumeOTPtest","TC_02_Consumer_OTP","Consumer_OTP",""
"passed","Fri Jan 29 16:50:36 EST 2021","Fri Jan 29 16:53:45 EST 2021","188884","Default suite","Default test","com.sailotech.ezscheduler.Testpages.Verifieddoctest","com.sailotech.ezscheduler.Testpages.Verifieddoctest","TC_10_AdminLogout","Admin Logout from EzScheduler Website",""
"passed","Wed Jan 20 09:43:56 EST 2021","Wed Jan 20 09:44:02 EST 2021","6241","Default suite","Default test","com.sailotech.ezscheduler.Testpages.Providerrregistrationtest","com.sailotech.ezscheduler.Testpages.Providerrregistrationtest","TC_05_Provider_LoginCredentials","ProviderRegistration_LoginCredentials",""
"passed","Sun Dec 13 09:17:11 EST 2020","Sun Dec 13 09:17:14 EST 2020","3304","SmokeTest","SmokeTest","sailotech.com.EzScheduler.DoctorLoginPages.DoctorLoginTest","sailotech.com.EzScheduler.DoctorLoginPages.DoctorLoginTest","TC_02_DoctorLogin","Navigate_homepage_to_DoctorLogin",""
"passed","Wed Dec 23 08:46:04 EST 2020","Wed Dec 23 08:46:06 EST 2020","2060","SmokeTest","SmokeTest","sailotech.com.EzScheduler.PositiveTestPages.DoctorGenerateSlotsTest","sailotech.com.EzScheduler.PositiveTestPages.DoctorGenerateSlotsTest","TC_01_navigate_homepage_to_Doctor_login","Navigate_homepage_to_Doctor_loginRegister",""
"broken","Thu Jan 21 11:34:26 EST 2021","Thu Jan 21 11:34:26 EST 2021","1","Default suite","Default test","com.sailotech.ezscheduler.Testpages.Providerrregistrationtest","com.sailotech.ezscheduler.Testpages.Providerrregistrationtest","beforeClass","beforeClass",""
"passed","Wed Dec 09 11:56:06 EST 2020","Wed Dec 09 11:56:09 EST 2020","2518","PatientRegistration","PatientRegistration","sailotech.com.EzScheduler.PatientRegistration.PatientRegistrationTest","sailotech.com.EzScheduler.PatientRegistration.PatientRegistrationTest","TC_01_navigate_homepage_to_DoctorRegister","Navigate_homepage_to_PatientLoginRegister",""
"passed","Wed Dec 23 08:46:10 EST 2020","Wed Dec 23 08:47:34 EST 2020","84267","SmokeTest","SmokeTest","sailotech.com.EzScheduler.PositiveTestPages.DoctorGenerateSlotsTest","sailotech.com.EzScheduler.PositiveTestPages.DoctorGenerateSlotsTest","TC_03_GenerateSlots","Navigate_GenerateSlots",""
"broken","Thu Jan 07 18:11:53 EST 2021","Thu Jan 07 18:11:53 EST 2021","0","SmokeTest","SmokeTest","com.sailotech.ezscheduler.testpages.Consumerscheduleanapptest","com.sailotech.ezscheduler.testpages.Consumerscheduleanapptest","appendFinalHTMLReport","appendFinalHTMLReport",""
"broken","Wed Feb 17 16:25:19 EST 2021","Wed Feb 17 16:25:46 EST 2021","26557","Default suite","Default test","com.sailotech.testautomation.ezscheduler.tests.Providerrcancelappointments_test","com.sailotech.testautomation.ezscheduler.tests.Providerrcancelappointments_test","TC_07_ProviderCancelAn_AppointmentsOrSlots","Provider Cancel or block all the slots",""
"skipped","Sun Dec 13 09:23:42 EST 2020","Sun Dec 13 09:23:42 EST 2020","1","Default suite","Default test","sailotech.com.EzScheduler.DoctorRegistration.DoctorRegistrationTest","sailotech.com.EzScheduler.DoctorRegistration.DoctorRegistrationTest","TC_02_DoctorRegister","Navigate_DoctorRegister",""
"passed","Thu Dec 24 15:22:50 EST 2020","Thu Dec 24 15:23:06 EST 2020","15988","Default suite","Default test","com.sailotech.ezscheduler.login_testpages.Adminlogintest","com.sailotech.ezscheduler.login_testpages.Adminlogintest","TC_02_adminlogin","Navigate_homepage_to_AdminLogin",""
"passed","Mon Jan 25 16:10:56 EST 2021","Mon Jan 25 16:11:45 EST 2021","48285","Default suite","Default test","com.sailotech.ezscheduler.Testpages.AdminVerifieddoctorsTest1","com.sailotech.ezscheduler.Testpages.AdminVerifieddoctorsTest1","TC_11_Admin_VerifyDoctor_negativescenarios","Admin checking Verified Doctor details (Negativescenarios)",""
"broken","Sun Dec 20 19:41:15 EST 2020","Sun Dec 20 19:41:15 EST 2020","0","SmokeTest","SmokeTest","sailotech.com.EzScheduler.NegativeTestPages.PatientLoginCredentialsTest","sailotech.com.EzScheduler.NegativeTestPages.PatientLoginCredentialsTest","beforeClass","beforeClass",""
"skipped","Wed Feb 10 11:57:34 EST 2021","Wed Feb 10 11:57:34 EST 2021","0","Default suite","Default test","com.sailotech.ezscheduler.Testpages.AdminVerifieddoctorsTest","com.sailotech.ezscheduler.Testpages.AdminVerifieddoctorsTest","TC_10_AdminLogout","Admin Logout from EzScheduler Website",""
"passed","Thu Jan 21 09:28:30 EST 2021","Thu Jan 21 09:28:35 EST 2021","5595","Default suite","Default test","com.sailotech.ezscheduler.Testpages.AdminverifyUnverifiedDoctortest","com.sailotech.ezscheduler.Testpages.AdminverifyUnverifiedDoctortest","TC_05_Navigate_to_AdminLogin","Navigate_to_AdminLogin",""
"passed","Sun Dec 13 09:17:43 EST 2020","Sun Dec 13 09:17:48 EST 2020","4633","SmokeTest","SmokeTest","sailotech.com.EzScheduler.GenerateSlots.GenerateSlotsTest","sailotech.com.EzScheduler.GenerateSlots.GenerateSlotsTest","TC_01_navigate_homepage_to_Doctor_login","Navigate_homepage_to_Doctor_loginRegister",""
"passed","Thu Dec 24 16:03:09 EST 2020","Thu Dec 24 16:03:16 EST 2020","6409","Default suite","Default test","com.sailotech.ezscheduler.testpages.AdminVerifydoctortest","com.sailotech.ezscheduler.testpages.AdminVerifydoctortest","TC_02_adminLogout","Navigate_homepage_to_AdminLogin",""
"passed","Wed Feb 17 16:27:21 EST 2021","Wed Feb 17 16:27:32 EST 2021","10973","Default suite","Default test","com.sailotech.testautomation.ezscheduler.tests.Consumerscheduleannapp_test","com.sailotech.testautomation.ezscheduler.tests.Consumerscheduleannapp_test","TC_17_ConsumerLogin","Navigate To Patient Login page",""
"skipped","Thu Jan 21 09:42:46 EST 2021","Thu Jan 21 09:42:46 EST 2021","0","Default suite","Default test","com.sailotech.ezscheduler.Testpages.Providerrcancelappointmentstest","com.sailotech.ezscheduler.Testpages.Providerrcancelappointmentstest","TC_13_Doctor_Logout","DoctorLogout_from_DoctorPage",""
